date,product_id,product_category,stock_level,safety_stock,reorder_point,max_stock,unit_cost,carrying_cost_percent,demand_variance,supplier_id,inventory_value,carrying_cost,stockout_risk,overstock_risk
2024-09-03,PROD_0001,Automotive,435,65,130,783,124.7,0.223,0.142,SUP_0003,54244.5,12096.5235,0,0
2024-09-03,PROD_0002,Electronics,363,54,108,653,35.85,0.261,0.326,SUP_0198,13013.550000000001,3396.5365500000003,0,0
2024-09-03,PROD_0003,Industrial,83,12,24,149,27.27,0.263,0.186,SUP_0114,2263.41,595.27683,0,0
2024-09-03,PROD_0004,Automotive,245,36,73,441,105.18,0.262,0.336,SUP_0181,25769.100000000002,6751.504200000001,0,0
2024-09-03,PROD_0005,Electronics,428,64,128,770,121.45,0.308,0.157,SUP_0018,51980.6,16010.0248,0,0
2024-09-03,PROD_0006,Healthcare,513,76,153,923,143.99,0.264,0.168,SUP_0081,73866.87000000001,19500.853680000004,0,0
2024-09-03,PROD_0007,Healthcare,970,145,291,1746,120.1,0.338,0.225,SUP_0087,116497.0,39375.986000000004,0,0
2024-09-03,PROD_0008,Consumer_Goods,578,86,173,1040,103.28,0.273,0.126,SUP_0146,59695.840000000004,16296.964320000003,0,0
2024-09-03,PROD_0009,Industrial,181,27,54,325,115.66,0.313,0.242,SUP_0054,20934.46,6552.4859799999995,0,0
2024-09-03,PROD_0010,Consumer_Goods,1248,187,374,2246,173.66,0.299,0.422,SUP_0200,216727.68,64801.57631999999,0,0
2024-09-03,PROD_0011,Consumer_Goods,1340,201,402,2412,118.11,0.183,0.405,SUP_0079,158267.4,28962.9342,0,0
2024-09-03,PROD_0012,Industrial,1216,182,364,2188,61.65,0.341,0.281,SUP_0020,74966.4,25563.5424,0,0
2024-09-03,PROD_0013,Industrial,786,117,235,1414,34.08,0.303,0.209,SUP_0052,26786.879999999997,8116.424639999999,0,0
2024-09-03,PROD_0014,Industrial,1016,152,304,1828,36.97,0.197,0.405,SUP_0125,37561.52,7399.6194399999995,0,0
2024-09-03,PROD_0015,Industrial,875,131,262,1575,113.87,0.34,0.224,SUP_0114,99636.25,33876.325000000004,0,0
2024-09-03,PROD_0016,Electronics,562,84,168,1011,82.06,0.283,0.357,SUP_0033,46117.72,13051.31476,0,0
2024-09-03,PROD_0017,Industrial,669,100,200,1204,195.24,0.29,0.23,SUP_0015,130615.56000000001,37878.5124,0,0
2024-09-03,PROD_0018,Electronics,273,40,81,491,161.27,0.163,0.28,SUP_0103,44026.71000000001,7176.353730000002,0,0
2024-09-03,PROD_0019,Industrial,1084,162,325,1951,30.11,0.187,0.301,SUP_0183,32639.239999999998,6103.53788,0,0
2024-09-03,PROD_0020,Industrial,744,111,223,1339,65.1,0.214,0.227,SUP_0155,48434.399999999994,10364.961599999999,0,0
2024-09-03,PROD_0021,Industrial,759,113,227,1366,53.25,0.325,0.31,SUP_0139,40416.75,13135.44375,0,0
2024-09-03,PROD_0022,Industrial,245,36,73,441,106.86,0.252,0.412,SUP_0057,26180.7,6597.5364,0,0
2024-09-03,PROD_0023,Electronics,713,106,213,1283,131.32,0.273,0.447,SUP_0098,93631.15999999999,25561.306679999998,0,0
2024-09-03,PROD_0024,Consumer_Goods,419,62,125,754,63.71,0.216,0.109,SUP_0033,26694.49,5766.009840000001,0,0
2024-09-03,PROD_0025,Automotive,905,135,271,1629,110.28,0.335,0.258,SUP_0017,99803.4,33434.139,0,0
2024-09-03,PROD_0026,Automotive,48,7,14,86,120.59,0.293,0.421,SUP_0123,5788.32,1695.9777599999998,0,0
2024-09-03,PROD_0027,Electronics,862,129,258,1551,117.04,0.339,0.379,SUP_0101,100888.48000000001,34201.19472000001,0,0
2024-09-03,PROD_0028,Automotive,870,130,261,1566,32.43,0.266,0.216,SUP_0086,28214.1,7504.9506,0,0
2024-09-03,PROD_0029,Industrial,202,30,60,363,100.04,0.235,0.105,SUP_0086,20208.08,4748.8988,0,0
2024-09-03,PROD_0030,Electronics,932,139,279,1677,45.11,0.246,0.149,SUP_0066,42042.52,10342.45992,0,0
2024-09-03,PROD_0031,Automotive,150,22,45,270,91.74,0.187,0.252,SUP_0057,13761.0,2573.307,0,0
2024-09-03,PROD_0032,Healthcare,1036,155,310,1864,95.37,0.225,0.216,SUP_0175,98803.32,22230.747000000003,0,0
