shipment_id,supplier_id,product_id,transportation_mode,quantity,distance_miles,shipping_cost,fuel_surcharge,delivery_time_days,planned_delivery_time,actual_delivery_time,on_time_delivery,damage_incidents,carbon_footprint_kg,cost_per_unit,cost_per_mile,delivery_performance,efficiency_score
SHIP_000001,SUP_0030,PROD_0073,Truck,943,832,180.19,15.28,4,4,3,False,0,1882881.45,0.1910816542948038,0.21657451923076923,1,0.8395730018963845
SHIP_000002,SUP_0141,PROD_0092,Truck,489,1275,428.24,56.94,3,3,3,True,0,1336163.99,0.8757464212678937,0.3358745098039216,1,0.533121102437748
SHIP_000003,SUP_0112,PROD_0091,Truck,755,2566,283.8,29.55,1,1,0,True,0,3285960.27,0.37589403973509933,0.11060015588464536,1,0.7268001540238737
SHIP_000004,SUP_0142,PROD_0086,Air,40,1273,640.59,63.53,1,1,2,True,0,77836.8,16.01475,0.5032128829536529,0,0.0
SHIP_000005,SUP_0014,PROD_0056,Ship,46,1364,211.24,24.26,32,32,33,True,0,137575.57,4.592173913043479,0.15486803519061584,0,0.0
SHIP_000006,SUP_0063,PROD_0042,Intermodal,616,775,279.88,28.4,8,8,11,False,0,1009132.83,0.45435064935064934,0.3611354838709677,0,0.0
SHIP_000007,SUP_0153,PROD_0030,Rail,63,2005,338.3,25.63,7,7,8,True,0,142940.63,5.36984126984127,0.1687281795511222,0,0.0
SHIP_000008,SUP_0199,PROD_0009,Truck,704,452,184.15,23.87,5,5,8,True,0,192094.95,0.26157670454545456,0.40741150442477875,0,0.0
SHIP_000009,SUP_0171,PROD_0080,Rail,825,1762,105.6,8.27,6,6,6,True,0,892139.52,0.128,0.059931895573212254,1,0.8865248226950354
SHIP_000010,SUP_0188,PROD_0054,Rail,559,2783,147.99,8.56,9,9,9,True,0,855001.49,0.2647406082289803,0.05317642831476824,1,0.7906759642993536
SHIP_000011,SUP_0127,PROD_0007,Truck,473,1635,550.62,53.8,2,2,5,True,0,1238614.13,1.1641014799154334,0.3367706422018349,0,0.0
