date,product_id,product_category,stock_level,safety_stock,reorder_point,max_stock,unit_cost,carrying_cost_percent,demand_variance,supplier_id
2024-09-03,PROD_0001,Automotive,435,65,130,783,124.7,0.223,0.142,SUP_0003
2024-09-03,PROD_0002,Electronics,363,54,108,653,35.85,0.261,0.326,SUP_0198
2024-09-03,PROD_0003,Industrial,83,12,24,149,27.27,0.263,0.186,SUP_0114
2024-09-03,PROD_0004,Automotive,245,36,73,441,105.18,0.262,0.336,SUP_0181
2024-09-03,PROD_0005,Electronics,428,64,128,770,121.45,0.308,0.157,SUP_0018
2024-09-03,PROD_0006,Healthcare,513,76,153,923,143.99,0.264,0.168,SUP_0081
2024-09-03,PROD_0007,Healthcare,970,145,291,1746,120.1,0.338,0.225,SUP_0087
2024-09-03,PROD_0008,Consumer_Goods,578,86,173,1040,103.28,0.273,0.126,SUP_0146
2024-09-03,PROD_0009,Industrial,181,27,54,325,115.66,0.313,0.242,SUP_0054
2024-09-03,PROD_0010,Consumer_Goods,1248,187,374,2246,173.66,0.299,0.422,SUP_0200
2024-09-03,PROD_0011,Consumer_Goods,1340,201,402,2412,118.11,0.183,0.405,SUP_0079
2024-09-03,PROD_0012,Industrial,1216,182,364,2188,61.65,0.341,0.281,SUP_0020
2024-09-03,PROD_0013,Industrial,786,117,235,1414,34.08,0.303,0.209,SUP_0052
2024-09-03,PROD_0014,Industrial,1016,152,304,1828,36.97,0.197,0.405,SUP_0125
2024-09-03,PROD_0015,Industrial,875,131,262,1575,113.87,0.34,0.224,SUP_0114
2024-09-03,PROD_0016,Electronics,562,84,168,1011,82.06,0.283,0.357,SUP_0033
2024-09-03,PROD_0017,Industrial,669,100,200,1204,195.24,0.29,0.23,SUP_0015
2024-09-03,PROD_0018,Electronics,273,40,81,491,161.27,0.163,0.28,SUP_0103
2024-09-03,PROD_0019,Industrial,1084,162,325,1951,30.11,0.187,0.301,SUP_0183
2024-09-03,PROD_0020,Industrial,744,111,223,1339,65.1,0.214,0.227,SUP_0155
2024-09-03,PROD_0021,Industrial,759,113,227,1366,53.25,0.325,0.31,SUP_0139
2024-09-03,PROD_0022,Industrial,245,36,73,441,106.86,0.252,0.412,SUP_0057
2024-09-03,PROD_0023,Electronics,713,106,213,1283,131.32,0.273,0.447,SUP_0098
2024-09-03,PROD_0024,Consumer_Goods,419,62,125,754,63.71,0.216,0.109,SUP_0033
2024-09-03,PROD_0025,Automotive,905,135,271,1629,110.28,0.335,0.258,SUP_0017
2024-09-03,PROD_0026,Automotive,48,7,14,86,120.59,0.293,0.421,SUP_0123
2024-09-03,PROD_0027,Electronics,862,129,258,1551,117.04,0.339,0.379,SUP_0101
2024-09-03,PROD_0028,Automotive,870,130,261,1566,32.43,0.266,0.216,SUP_0086
2024-09-03,PROD_0029,Industrial,202,30,60,363,100.04,0.235,0.105,SUP_0086
2024-09-03,PROD_0030,Electronics,932,139,279,1677,45.11,0.246,0.149,SUP_0066
2024-09-03,PROD_0031,Automotive,150,22,45,270,91.74,0.187,0.252,SUP_0057
2024-09-03,PROD_0032,Healthcare,1036,155,310,1864,95.37,0.225,0.216,SUP_0175
2024-09-03,PROD_0033,Consumer_Goods,1031,154,309,1855,94.78,0.189,0.171,SUP_0190
2024-09-03,PROD_0034,Consumer_Goods,87,13,26,156,120.93,0.193,0.153,SUP_0135
2024-09-03,PROD_0035,Electronics,469,70,140,844,39.35,0.252,0.416,SUP_0134
