shipment_id,supplier_id,product_id,transportation_mode,quantity,distance_miles,shipping_cost,fuel_surcharge,delivery_time_days,planned_delivery_time,actual_delivery_time,on_time_delivery,damage_incidents,carbon_footprint_kg
SHIP_000001,SUP_0030,PROD_0073,Truck,943,832,180.19,15.28,4,4,3,False,0,1882881.45
SHIP_000002,SUP_0141,PROD_0092,Truck,489,1275,428.24,56.94,3,3,3,True,0,1336163.99
SHIP_000003,SUP_0112,PROD_0091,Truck,755,2566,283.8,29.55,1,1,0,True,0,3285960.27
SHIP_000004,SUP_0142,PROD_0086,Air,40,1273,640.59,63.53,1,1,2,True,0,77836.8
SHIP_000005,SUP_0014,PROD_0056,Ship,46,1364,211.24,24.26,32,32,33,True,0,137575.57
SHIP_000006,SUP_0063,PROD_0042,Intermodal,616,775,279.88,28.4,8,8,11,False,0,1009132.83
SHIP_000007,SUP_0153,PROD_0030,Rail,63,2005,338.3,25.63,7,7,8,True,0,142940.63
SHIP_000008,SUP_0199,PROD_0009,Truck,704,452,184.15,23.87,5,5,8,True,0,192094.95
SHIP_000009,SUP_0171,PROD_0080,Rail,825,1762,105.6,8.27,6,6,6,True,0,892139.52
SHIP_000010,SUP_0188,PROD_0054,Rail,559,2783,147.99,8.56,9,9,9,True,0,855001.49
SHIP_000011,SUP_0127,PROD_0007,Truck,473,1635,550.62,53.8,2,2,5,True,0,1238614.13
SHIP_000012,SUP_0107,PROD_0008,Air,531,245,683.69,42.56,1,1,0,True,0,143282.14
SHIP_000013,SUP_0161,PROD_0011,Truck,347,2734,130.6,7.03,2,2,5,True,0,995234.47
SHIP_000014,SUP_0012,PROD_0096,Intermodal,951,319,245.41,29.43,19,19,22,True,0,511414.18
SHIP_000015,SUP_0058,PROD_0014,Rail,311,336,287.36,25.17,7,7,10,True,0,152377.49
SHIP_000016,SUP_0085,PROD_0076,Truck,80,2969,322.38,29.08,2,2,3,True,0,588585.62
SHIP_000017,SUP_0152,PROD_0032,Truck,442,1911,230.3,16.82,3,3,3,True,0,490945.04
SHIP_000018,SUP_0012,PROD_0056,Truck,669,462,458.43,36.78,4,4,5,True,0,584793.54
SHIP_000019,SUP_0140,PROD_0062,Truck,871,1169,148.0,10.4,5,5,5,True,0,1097605.26
SHIP_000020,SUP_0093,PROD_0088,Intermodal,29,128,138.56,12.31,10,10,10,True,0,8699.25
SHIP_000021,SUP_0192,PROD_0084,Truck,742,2273,414.36,23.59,6,6,6,True,0,2368272.23
SHIP_000022,SUP_0123,PROD_0054,Rail,497,2345,326.68,34.8,11,11,13,True,0,1659524.89
SHIP_000023,SUP_0068,PROD_0001,Rail,668,1746,255.78,11.23,7,7,8,True,0,2642724.14
SHIP_000024,SUP_0055,PROD_0038,Truck,803,412,132.2,7.67,2,2,4,True,0,789683.47
SHIP_000025,SUP_0150,PROD_0053,Rail,157,2901,104.32,8.99,10,10,11,True,1,1090051.54
SHIP_000026,SUP_0166,PROD_0086,Ship,913,206,94.71,12.23,20,20,20,False,0,211390.66
SHIP_000027,SUP_0128,PROD_0003,Air,246,2903,795.99,85.28,2,2,3,False,0,982486.34
SHIP_000028,SUP_0130,PROD_0066,Truck,565,1532,263.16,24.0,3,3,3,True,0,2065322.09
SHIP_000029,SUP_0147,PROD_0071,Truck,927,559,427.98,25.71,5,5,8,True,1,562330.48
SHIP_000030,SUP_0137,PROD_0011,Rail,407,1044,205.13,23.73,10,10,12,True,1,711625.23
SHIP_000031,SUP_0146,PROD_0053,Air,496,539,438.28,58.05,1,1,2,True,0,476626.69
SHIP_000032,SUP_0128,PROD_0004,Rail,556,887,251.26,24.51,9,9,12,True,0,1206570.29
SHIP_000033,SUP_0133,PROD_0096,Truck,594,1642,445.77,44.89,6,6,8,True,0,1225234.71
SHIP_000034,SUP_0188,PROD_0061,Intermodal,38,1797,188.84,10.51,16,16,19,True,0,151120.21
